Accepted_Latin_Name,Common,Created_By,Family,Genus,Latin_Name,Order,PLANTS_Code,Rank_Name,Species,Subspecies,Synonym,Updated_By,ACAD_ED,Accepted_Found,Aquatic,Exotic,Fern_Ally,Graminoid,Herbaceous,Moss_Lichen,Shrub,Tree,TSN,TSN_Accepted,Vine,CoC_ME_ACAD,Created_Date,Updated_Date,Invasive,Author,Canopy_Exclusion,Favorites,Protected_species,Coef_wetness
Callitriche,water-starwort,NA,Plantaginaceae,Callitriche,Callitriche,Lamiales,CALLI6,Genus,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,32051,32051,FALSE,4.5,6/14/2012,6/14/2012,FALSE,L.,FALSE,FALSE,FALSE,-5
Callitriche palustris,vernal water-starwort,NA,Plantaginaceae,Callitriche,Callitriche palustris,Lamiales,CAPA52,Species,palustris,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,501143,501143,FALSE,4,6/14/2012,6/14/2012,FALSE,L.,FALSE,FALSE,FALSE,-5
Calopogon tuberosus,grasspink,NA,Orchidaceae,Calopogon,Calopogon tuberosus,Asparagales,CATU5,Species,tuberosus,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,43506,43506,FALSE,7,3/28/2014,3/28/2014,FALSE,"""(L.) Britton",FALSE,FALSE,FALSE,-5
Calystegia,false bindweed,NA,Convolvulaceae,Calystegia,Calystegia,Solanales,CALYS,Genus,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,30649,30649,FALSE,2,6/14/2012,6/14/2012,FALSE,R. Br.,FALSE,FALSE,FALSE,NA
Calystegia sepium,hedge falso bindweed,NA,Convolvulaceae,Calystegia,Calystegia sepium,Solanales,CASE13,Species,sepium,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,30650,30650,FALSE,2,6/14/2012,6/14/2012,FALSE,(L.) R. Br.,FALSE,FALSE,FALSE,0
Cardamine impatiens,narrowleaf bittercress,NA,Brassicaceae,Cardamine,Cardamine impatiens,Brassicales,CAIM,Species,impatiens,NA,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,22798,22798,FALSE,0,6/14/2012,10/21/2013,TRUE,L.,FALSE,TRUE,FALSE,0
Cardamine pensylvanica,Quaker bittercress,NA,Brassicaceae,Cardamine,Cardamine pensylvanica,Brassicales,CAPE3,Species,pensylvanica,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,22772,22772,FALSE,5,6/14/2012,10/21/2013,FALSE,Muhl. ex Willd.,FALSE,FALSE,FALSE,-3
Carex,sedge species,NA,Cyperaceae,Carex,Carex,Poales,CAREX,Genus,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,39369,39369,FALSE,4.4,6/14/2012,10/22/2013,FALSE,L.,FALSE,TRUE,FALSE,NA
Carex albicans,whitetinge sedge,NA,Cyperaceae,Carex,Carex albicans,Poales,CAAL25,Species,albicans,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,565042,565042,FALSE,5,6/14/2012,10/22/2013,FALSE,Willd. ex Spreng.,FALSE,FALSE,FALSE,5
Carex annectens,yellowfruit sedge,NA,Cyperaceae,Carex,Carex annectens,Poales,CAAN6,Species,annectens,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,39373,39373,FALSE,2,6/14/2012,10/22/2013,FALSE,(E.P. Bicknell) E.P. Bicknell,FALSE,FALSE,FALSE,-3
Carex arctata,drooping woodland sedge,NA,Cyperaceae,Carex,Carex arctata,Poales,CAAR3,Species,arctata,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,39500,39500,FALSE,4,6/14/2012,10/22/2013,FALSE,Boott ex Hook.,FALSE,TRUE,FALSE,0
Carex atlantica,prickly bog sedge,NA,Cyperaceae,Carex,Carex atlantica,Poales,CAAT4,Species,atlantica,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,39450,39450,FALSE,6,6/14/2012,10/22/2013,FALSE,L.H. Bailey,FALSE,FALSE,FALSE,-3
Carex billingsii,Billings' sedge,NA,Cyperaceae,Carex,Carex billingsii,Poales,CABI22,Species,billingsii,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,808475,808475,FALSE,8,7/23/2018,7/23/2018,FALSE,(O.W. Knight) Kirschb.,FALSE,FALSE,FALSE,-5
Carex brunnescens,brownish sedge,NA,Cyperaceae,Carex,Carex brunnescens,Poales,CABR15,Species,brunnescens,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,39446,39446,FALSE,4,6/14/2012,10/22/2013,FALSE,(Pers.) Poir.,FALSE,FALSE,FALSE,-3
Carex canescens,silvery sedge,NA,Cyperaceae,Carex,Carex canescens,Poales,CACA11,Species,canescens,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,39447,39447,FALSE,5,6/14/2012,10/22/2013,FALSE,L.,FALSE,FALSE,FALSE,-5
Carex communis,fibrousroot sedge,NA,Cyperaceae,Carex,Carex communis,Poales,CACO7,Species,communis,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,39550,39550,FALSE,4,6/14/2012,10/22/2013,FALSE,L.H. Bailey,FALSE,FALSE,FALSE,0
Carex comosa,longhair sedge,NA,Cyperaceae,Carex,Carex comosa,Poales,CACO8,Species,comosa,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,39384,39384,FALSE,6,6/14/2012,10/22/2013,FALSE,Boott,FALSE,FALSE,FALSE,-5
Carex conoidea,field sedge,NA,Cyperaceae,Carex,Carex conoidea,Poales,CACO14,Species,conoidea,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,39556,39556,FALSE,4,6/14/2012,10/22/2013,FALSE,Schkuhr ex Willd.,FALSE,FALSE,FALSE,-3
Carex crinita,fringed sedge,NA,Cyperaceae,Carex,Carex crinita,Poales,CACR6,Species,crinita,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,39385,39385,FALSE,3,6/14/2012,10/22/2013,FALSE,Lam.,FALSE,FALSE,FALSE,-5
Carex cryptolepis,northeastern sedge,NA,Cyperaceae,Carex,Carex cryptolepis,Poales,CACR9,Species,cryptolepis,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,39563,39563,FALSE,5,6/14/2012,10/22/2013,FALSE,Mack.,FALSE,FALSE,FALSE,-5
Carex debilis,white edge sedge,NA,Cyperaceae,Carex,Carex debilis,Poales,CADE5,Species,debilis,NA,Carex debilis var. rudgei,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,39572,39572,FALSE,3,6/14/2012,10/22/2013,FALSE,Michx.,FALSE,TRUE,FALSE,-3
Carex deflexa,northern sedge,{85C1E403-008D-4605-B678-10F278B8E16E},Cyperaceae,Carex,Carex deflexa,Poales,CADE7,Species,deflexa,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,39573,39573,FALSE,4,11/2/2012,11/2/2012,FALSE,Hornem.,FALSE,FALSE,FALSE,0
Carex deweyana,Dewey sedge,NA,Cyperaceae,Carex,Carex deweyana,Poales,CADE9,Species,deweyana,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,39575,39575,FALSE,5,6/14/2012,10/22/2013,FALSE,Schwein.,FALSE,FALSE,FALSE,3
Carex disperma,softleaf sedge,NA,Cyperaceae,Carex,Carex disperma,Poales,CADI6,Species,disperma,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,39577,39577,FALSE,5,6/14/2012,10/22/2013,FALSE,Dewey,FALSE,FALSE,FALSE,-5
Carex echinata,star sedge,NA,Cyperaceae,Carex,Carex echinata,Poales,CAEC,Species,echinata,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,39582,39582,FALSE,3,6/14/2012,10/22/2013,FALSE,Murray,FALSE,FALSE,FALSE,-5
Carex exilis,coastal sedge,NA,Cyperaceae,Carex,Carex exilis,Poales,CAEX7,Species,exilis,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,39740,39740,FALSE,8,3/28/2014,3/28/2014,FALSE,L.H. Bailey,FALSE,FALSE,FALSE,-5
Carex flava,yellow sedge,NA,Cyperaceae,Carex,Carex flava,Poales,CAFL4,Species,flava,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,39606,39606,FALSE,4,6/14/2012,10/22/2013,FALSE,L.,FALSE,FALSE,FALSE,-5
Carex foenea,dryspike sedge,NA,Cyperaceae,Carex,Carex foenea,Poales,CAFO3,Species,foenea,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,39607,39607,FALSE,5,6/14/2012,10/22/2013,FALSE,Willd.,FALSE,FALSE,FALSE,5
Carex folliculata,long sedge,NA,Cyperaceae,Carex,Carex folliculata,Poales,CAFO6,Species,folliculata,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,39392,39392,FALSE,5,6/14/2012,10/22/2013,FALSE,L.,FALSE,FALSE,FALSE,-5
Carex gracillima,graceful sedge,NA,Cyperaceae,Carex,Carex gracillima,Poales,CAGR2,Species,gracillima,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,39620,39620,FALSE,3,6/14/2012,10/22/2013,FALSE,Schwein.,FALSE,FALSE,FALSE,3
Carex gynandra,nodding sedge,NA,Cyperaceae,Carex,Carex gynandra,Poales,CAGY4,Species,gynandra,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,39623,39623,FALSE,2,6/14/2012,10/22/2013,FALSE,Schwein.,FALSE,FALSE,FALSE,-5
Carex interior,inland sedge,NA,Cyperaceae,Carex,Carex interior,Poales,CAIN11,Species,interior,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,39652,39652,FALSE,6,6/14/2012,10/22/2013,FALSE,L.H. Bailey,FALSE,FALSE,FALSE,-5
Carex intumescens,greater bladder sedge,NA,Cyperaceae,Carex,Carex intumescens,Poales,CAIN12,Species,intumescens,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,39403,39403,FALSE,4,6/14/2012,10/22/2013,FALSE,Rudge,FALSE,FALSE,FALSE,-3
Carex lacustris,hairy sedge,NA,Cyperaceae,Carex,Carex lacustris,Poales,CALA16,Species,lacustris,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,39409,39409,FALSE,4,6/14/2012,10/22/2013,FALSE,Willd.,FALSE,FALSE,FALSE,-5
Carex lasiocarpa,woolly-fruit sedge,NA,Cyperaceae,Carex,Carex lasiocarpa,Poales,CALA11,Species,lasiocarpa,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,39459,39459,FALSE,6,3/28/2014,3/28/2014,FALSE,Ehrh.,FALSE,FALSE,FALSE,-5
